Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,10,O,7,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']",1.0,2.0
1,11,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,11,X,3,"[' ', ' ', 'O', 'X', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,11,X,7,"[' ', 'O', 'O', 'X', ' ', 'X', ' ', 'X', ' ']",0.0,0.0
1,11,X,8,"[' ', 'O', 'O', 'X', ' ', 'X', 'O', 'X', 'X']",1.0,1.0
1,12,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,12,O,8,"[' ', ' ', ' ', ' ', ' ', 'O', 'X', ' ', 'O']",0.0,0.0
1,12,O,4,"['X', ' ', ' ', ' ', 'O', 'O', 'X', ' ', 'O']",0.0,0.0
1,12,O,1,"['X', 'O', 'X', ' ', 'O', 'O', 'X', ' ', 'O']",0.0,0.0
1,13,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,13,X,2,"[' ', ' ', 'X', ' ', ' ', 'X', ' ', 'O', ' ']",0.0,0.0
1,13,X,3,"[' ', 'O', 'X', 'X', ' ', 'X', ' ', 'O', ' ']",1.0,1.0
1,13,X,0,"['X', 'O', 'X', 'X', ' ', 'X', 'O', 'O', ' ']",0.0,1.0
1,14,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",1.0,1.0
1,14,O,0,"['O', ' ', ' ', ' ', ' ', 'O', 'X', ' ', ' ']",1.0,2.0
1,14,O,7,"['O', ' ', ' ', ' ', ' ', 'O', 'X', 'O', 'X']",1.0,3.0
1,14,O,1,"['O', 'O', ' ', ' ', 'X', 'O', 'X', 'O', 'X']",0.0,3.0
1,14,O,2,"['O', 'O', 'O', 'X', 'X', 'O', 'X', 'O', 'X']",1.0,4.0
1,15,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,15,X,7,"[' ', ' ', ' ', 'O', ' ', 'X', ' ', 'X', ' ']",0.0,0.0
1,15,X,0,"['X', ' ', ' ', 'O', ' ', 'X', 'O', 'X', ' ']",0.0,0.0
1,15,X,2,"['X', ' ', 'X', 'O', ' ', 'X', 'O', 'X', 'O']",0.0,0.0
1,15,X,1,"['X', 'X', 'X', 'O', 'O', 'X', 'O', 'X', 'O']",0.0,0.0
1,16,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,16,O,2,"[' ', ' ', 'O', ' ', ' ', 'O', ' ', 'X', ' ']",0.0,0.0
1,16,O,6,"[' ', 'X', 'O', ' ', ' ', 'O', 'O', 'X', ' ']",0.0,0.0
1,16,O,4,"[' ', 'X', 'O', 'X', 'O', 'O', 'O', 'X', ' ']",0.0,0.0
1,17,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,17,X,4,"[' ', ' ', ' ', ' ', 'X', 'X', ' ', 'O', ' ']",0.0,0.0
1,17,X,3,"[' ', ' ', ' ', 'X', 'X', 'X', 'O', 'O', ' ']",0.0,0.0
1,18,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,18,O,1,"[' ', 'O', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,18,O,4,"[' ', 'O', ' ', 'X', 'O', 'O', ' ', ' ', 'X']",0.0,0.0
1,18,O,0,"['O', 'O', 'X', 'X', 'O', 'O', ' ', ' ', 'X']",0.0,0.0
1,18,O,6,"['O', 'O', 'X', 'X', 'O', 'O', 'O', 'X', 'X']",0.0,0.0
1,19,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,19,X,1,"[' ', 'X', 'O', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,19,X,7,"['O', 'X', 'O', ' ', ' ', 'X', ' ', 'X', ' ']",0.0,0.0
1,19,X,6,"['O', 'X', 'O', ' ', ' ', 'X', 'X', 'X', 'O']",-1.0,-1.0
1,20,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,20,O,8,"[' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ', 'O']",0.0,0.0
1,20,O,6,"[' ', ' ', ' ', 'X', 'X', 'O', 'O', ' ', 'O']",0.0,0.0
1,20,O,1,"[' ', 'O', ' ', 'X', 'X', 'O', 'O', 'X', 'O']",0.0,0.0
1,20,O,0,"['O', 'O', 'X', 'X', 'X', 'O', 'O', 'X', 'O']",0.0,0.0
1,21,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,21,X,4,"['O', ' ', ' ', ' ', 'X', 'X', ' ', ' ', ' ']",0.0,0.0
1,21,X,2,"['O', ' ', 'X', ' ', 'X', 'X', ' ', 'O', ' ']",0.0,0.0
1,21,X,8,"['O', ' ', 'X', ' ', 'X', 'X', 'O', 'O', 'X']",0.0,0.0
1,22,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,22,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",1.0,1.0
1,22,O,7,"['O', ' ', 'X', 'X', ' ', 'O', ' ', 'O', ' ']",0.0,1.0
1,22,O,8,"['O', 'X', 'X', 'X', ' ', 'O', ' ', 'O', 'O']",0.0,1.0
1,22,O,6,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']",1.0,2.0
1,23,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,23,X,3,"[' ', ' ', ' ', 'X', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,23,X,4,"[' ', ' ', 'O', 'X', 'X', 'X', 'O', ' ', ' ']",0.0,0.0
1,24,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,24,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,24,O,4,"['O', ' ', 'X', 'X', 'O', 'O', ' ', ' ', ' ']",0.0,0.0
1,24,O,1,"['O', 'O', 'X', 'X', 'O', 'O', ' ', 'X', ' ']",0.0,0.0
1,24,O,8,"['O', 'O', 'X', 'X', 'O', 'O', 'X', 'X', 'O']",0.0,0.0
1,25,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,25,X,7,"[' ', ' ', ' ', ' ', ' ', 'X', 'O', 'X', ' ']",0.0,0.0
1,25,X,0,"['X', 'O', ' ', ' ', ' ', 'X', 'O', 'X', ' ']",0.0,0.0
1,25,X,8,"['X', 'O', ' ', 'O', ' ', 'X', 'O', 'X', 'X']",0.0,0.0
1,25,X,4,"['X', 'O', 'O', 'O', 'X', 'X', 'O', 'X', 'X']",0.0,0.0
1,26,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,26,O,4,"[' ', ' ', ' ', ' ', 'O', 'O', ' ', 'X', ' ']",0.0,0.0
1,26,O,8,"[' ', ' ', 'X', ' ', 'O', 'O', ' ', 'X', 'O']",0.0,0.0
1,26,O,1,"['X', 'O', 'X', ' ', 'O', 'O', ' ', 'X', 'O']",0.0,0.0
1,26,O,6,"['X', 'O', 'X', 'X', 'O', 'O', 'O', 'X', 'O']",0.0,0.0
1,27,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,27,X,1,"[' ', 'X', ' ', 'O', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,27,X,0,"['X', 'X', ' ', 'O', 'O', 'X', ' ', ' ', ' ']",0.0,0.0
1,27,X,7,"['X', 'X', ' ', 'O', 'O', 'X', 'O', 'X', ' ']",0.0,0.0
1,28,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",1.0,1.0
1,28,O,8,"[' ', 'X', ' ', ' ', ' ', 'O', ' ', ' ', 'O']",0.0,1.0
1,28,O,0,"['O', 'X', ' ', ' ', ' ', 'O', ' ', 'X', 'O']",0.0,1.0
1,28,O,6,"['O', 'X', ' ', 'X', ' ', 'O', 'O', 'X', 'O']",0.0,1.0
1,29,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,29,X,4,"[' ', ' ', 'O', ' ', 'X', 'X', ' ', ' ', ' ']",0.0,0.0
1,29,X,1,"[' ', 'X', 'O', ' ', 'X', 'X', ' ', ' ', 'O']",0.0,0.0
1,29,X,3,"[' ', 'X', 'O', 'X', 'X', 'X', ' ', 'O', 'O']",0.0,0.0
1,30,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",1.0,1.0
1,30,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,1.0
1,30,O,1,"['O', 'O', ' ', 'X', ' ', 'O', ' ', 'X', ' ']",0.0,1.0
1,30,O,6,"['O', 'O', ' ', 'X', ' ', 'O', 'O', 'X', 'X']",1.0,2.0
1,30,O,4,"['O', 'O', 'X', 'X', 'O', 'O', 'O', 'X', 'X']",1.0,3.0
1,31,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,31,X,8,"[' ', ' ', ' ', ' ', ' ', 'X', 'O', ' ', 'X']",0.0,0.0
1,31,X,1,"['O', 'X', ' ', ' ', ' ', 'X', 'O', ' ', 'X']",0.0,0.0
1,31,X,7,"['O', 'X', ' ', ' ', 'O', 'X', 'O', 'X', 'X']",0.0,0.0
1,32,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,32,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,32,O,6,"['O', ' ', ' ', 'X', 'X', 'O', 'O', ' ', ' ']",0.0,0.0
1,32,O,8,"['O', ' ', 'X', 'X', 'X', 'O', 'O', ' ', 'O']",0.0,0.0
1,32,O,7,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']",1.0,1.0
1,33,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,33,X,2,"[' ', ' ', 'X', 'O', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,33,X,0,"['X', ' ', 'X', 'O', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,33,X,8,"['X', ' ', 'X', 'O', 'O', 'X', 'O', ' ', 'X']",0.0,0.0
1,34,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,34,O,6,"[' ', ' ', ' ', ' ', ' ', 'O', 'O', 'X', ' ']",0.0,0.0
1,34,O,3,"['X', ' ', ' ', 'O', ' ', 'O', 'O', 'X', ' ']",0.0,0.0
1,34,O,2,"['X', 'X', 'O', 'O', ' ', 'O', 'O', 'X', ' ']",0.0,0.0
1,34,O,4,"['X', 'X', 'O', 'O', 'O', 'O', 'O', 'X', 'X']",0.0,0.0
1,35,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,35,X,4,"['O', ' ', ' ', ' ', 'X', 'X', ' ', ' ', ' ']",0.0,0.0
1,35,X,2,"['O', ' ', 'X', ' ', 'X', 'X', ' ', ' ', 'O']",0.0,0.0
1,35,X,7,"['O', ' ', 'X', 'O', 'X', 'X', ' ', 'X', 'O']",0.0,0.0
1,35,X,6,"['O', 'O', 'X', 'O', 'X', 'X', 'X', 'X', 'O']",1.0,1.0
1,36,O,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O']",0.0,0.0
1,36,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', 'O', 'O']",1.0,1.0
1,36,O,1,"['X', 'O', ' ', ' ', ' ', ' ', 'X', 'O', 'O']",0.0,1.0
1,36,O,2,"['X', 'O', 'O', ' ', 'X', ' ', 'X', 'O', 'O']",0.0,1.0
1,37,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,37,X,2,"[' ', ' ', 'X', ' ', ' ', 'X', ' ', ' ', 'O']",0.0,0.0
1,37,X,1,"[' ', 'X', 'X', ' ', ' ', 'X', ' ', 'O', 'O']",0.0,0.0
1,37,X,3,"['O', 'X', 'X', 'X', ' ', 'X', ' ', 'O', 'O']",1.0,1.0
1,38,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,38,O,0,"['O', ' ', ' ', ' ', ' ', 'O', ' ', ' ', 'X']",0.0,0.0
1,38,O,1,"['O', 'O', 'X', ' ', ' ', 'O', ' ', ' ', 'X']",0.0,0.0
1,38,O,4,"['O', 'O', 'X', ' ', 'O', 'O', 'X', ' ', 'X']",0.0,0.0
1,39,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,39,X,1,"['O', 'X', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,39,X,2,"['O', 'X', 'X', 'O', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,39,X,7,"['O', 'X', 'X', 'O', ' ', 'X', ' ', 'X', 'O']",0.0,0.0
1,40,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,40,O,6,"[' ', ' ', 'X', ' ', ' ', 'O', 'O', ' ', ' ']",0.0,0.0
1,40,O,7,"[' ', 'X', 'X', ' ', ' ', 'O', 'O', 'O', ' ']",0.0,0.0
1,40,O,0,"['O', 'X', 'X', ' ', 'X', 'O', 'O', 'O', ' ']",0.0,0.0
1,40,O,8,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']",0.0,0.0
1,41,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,41,X,6,"[' ', 'O', ' ', ' ', ' ', 'X', 'X', ' ', ' ']",1.0,1.0
1,41,X,7,"[' ', 'O', ' ', ' ', ' ', 'X', 'X', 'X', 'O']",0.0,1.0
1,41,X,2,"[' ', 'O', 'X', ' ', 'O', 'X', 'X', 'X', 'O']",0.0,1.0
1,41,X,0,"['X', 'O', 'X', 'O', 'O', 'X', 'X', 'X', 'O']",0.0,1.0
1,42,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",1.0,1.0
1,42,O,6,"[' ', 'X', ' ', ' ', ' ', 'O', 'O', ' ', ' ']",0.0,1.0
1,42,O,4,"['X', 'X', ' ', ' ', 'O', 'O', 'O', ' ', ' ']",0.0,1.0
1,43,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,43,X,8,"['O', ' ', ' ', ' ', ' ', 'X', ' ', ' ', 'X']",0.0,0.0
1,43,X,6,"['O', ' ', ' ', ' ', 'O', 'X', 'X', ' ', 'X']",0.0,0.0
1,43,X,7,"['O', ' ', 'O', ' ', 'O', 'X', 'X', 'X', 'X']",1.0,1.0
1,44,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,44,O,4,"[' ', ' ', ' ', ' ', 'O', 'O', ' ', 'X', ' ']",1.0,1.0
1,44,O,6,"[' ', ' ', ' ', ' ', 'O', 'O', 'O', 'X', 'X']",0.0,1.0
1,44,O,2,"[' ', 'X', 'O', ' ', 'O', 'O', 'O', 'X', 'X']",0.0,1.0
1,45,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,45,X,6,"[' ', 'O', ' ', ' ', ' ', 'X', 'X', ' ', ' ']",0.0,0.0
1,45,X,4,"[' ', 'O', ' ', ' ', 'X', 'X', 'X', ' ', 'O']",0.0,0.0
1,45,X,0,"['X', 'O', ' ', 'O', 'X', 'X', 'X', ' ', 'O']",0.0,0.0
1,45,X,7,"['X', 'O', 'O', 'O', 'X', 'X', 'X', 'X', 'O']",0.0,0.0
1,46,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,46,O,7,"[' ', 'X', ' ', ' ', ' ', 'O', ' ', 'O', ' ']",0.0,0.0
1,46,O,8,"[' ', 'X', ' ', ' ', ' ', 'O', 'X', 'O', 'O']",0.0,0.0
1,46,O,4,"['X', 'X', ' ', ' ', 'O', 'O', 'X', 'O', 'O']",0.0,0.0
1,47,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,47,X,5,"[' ', 'X', ' ', ' ', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,47,X,8,"['O', 'X', ' ', ' ', ' ', 'X', 'O', ' ', 'X']",0.0,0.0
1,47,X,3,"['O', 'X', ' ', 'X', 'O', 'X', 'O', ' ', 'X']",0.0,0.0
1,48,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,48,O,7,"[' ', ' ', ' ', ' ', 'X', 'O', ' ', 'O', ' ']",0.0,0.0
1,48,O,1,"[' ', 'O', ' ', ' ', 'X', 'O', 'X', 'O', ' ']",0.0,0.0
1,48,O,2,"[' ', 'O', 'O', ' ', 'X', 'O', 'X', 'O', 'X']",0.0,0.0
1,48,O,0,"['O', 'O', 'O', 'X', 'X', 'O', 'X', 'O', 'X']",0.0,0.0
1,49,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,49,X,1,"[' ', 'X', 'O', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,49,X,7,"[' ', 'X', 'O', ' ', 'O', 'X', ' ', 'X', ' ']",0.0,0.0
1,50,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,50,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,50,O,8,"['O', ' ', ' ', 'X', 'X', 'O', ' ', ' ', 'O']",0.0,0.0
1,50,O,6,"['O', ' ', ' ', 'X', 'X', 'O', 'O', 'X', 'O']",0.0,0.0
1,50,O,1,"['O', 'O', 'X', 'X', 'X', 'O', 'O', 'X', 'O']",0.0,0.0
1,51,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,51,X,6,"[' ', 'O', ' ', ' ', ' ', 'X', 'X', ' ', ' ']",0.0,0.0
1,51,X,4,"[' ', 'O', ' ', 'O', 'X', 'X', 'X', ' ', ' ']",0.0,0.0
1,51,X,2,"['O', 'O', 'X', 'O', 'X', 'X', 'X', ' ', ' ']",0.0,0.0
1,52,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,52,O,4,"[' ', ' ', ' ', ' ', 'O', 'O', ' ', 'X', ' ']",0.0,0.0
1,52,O,1,"[' ', 'O', ' ', ' ', 'O', 'O', 'X', 'X', ' ']",0.0,0.0
1,52,O,8,"[' ', 'O', ' ', 'X', 'O', 'O', 'X', 'X', 'O']",0.0,0.0
1,53,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,53,X,3,"[' ', ' ', ' ', 'X', ' ', 'X', ' ', ' ', 'O']",0.0,0.0
1,53,X,7,"[' ', ' ', 'O', 'X', ' ', 'X', ' ', 'X', 'O']",0.0,0.0
1,53,X,0,"['X', ' ', 'O', 'X', 'O', 'X', ' ', 'X', 'O']",0.0,0.0
1,53,X,6,"['X', 'O', 'O', 'X', 'O', 'X', 'X', 'X', 'O']",0.0,0.0
1,54,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,54,O,4,"[' ', ' ', 'X', ' ', 'O', 'O', ' ', ' ', ' ']",0.0,0.0
1,54,O,8,"[' ', 'X', 'X', ' ', 'O', 'O', ' ', ' ', 'O']",0.0,0.0
1,54,O,0,"['O', 'X', 'X', 'X', 'O', 'O', ' ', ' ', 'O']",0.0,0.0
1,55,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,55,X,8,"[' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ', 'X']",0.0,0.0
1,55,X,0,"['X', 'O', ' ', ' ', 'O', 'X', ' ', ' ', 'X']",0.0,0.0
1,55,X,7,"['X', 'O', 'O', ' ', 'O', 'X', ' ', 'X', 'X']",0.0,0.0
1,55,X,6,"['X', 'O', 'O', 'O', 'O', 'X', 'X', 'X', 'X']",0.0,0.0
1,56,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,56,O,0,"['O', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,56,O,8,"['O', ' ', 'X', 'X', ' ', 'O', ' ', ' ', 'O']",0.0,0.0
1,56,O,7,"['O', ' ', 'X', 'X', ' ', 'O', 'X', 'O', 'O']",0.0,0.0
1,57,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,57,X,2,"['O', ' ', 'X', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,57,X,6,"['O', ' ', 'X', ' ', ' ', 'X', 'X', ' ', 'O']",0.0,0.0
1,58,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",-1.0,-1.0
1,58,O,0,"['O', ' ', ' ', ' ', ' ', 'O', 'X', ' ', ' ']",0.0,-1.0
1,58,O,4,"['O', ' ', ' ', ' ', 'O', 'O', 'X', 'X', ' ']",0.0,-1.0
1,58,O,3,"['O', 'X', ' ', 'O', 'O', 'O', 'X', 'X', ' ']",0.0,-1.0
1,59,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,59,X,2,"[' ', 'X', 'X', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,59,X,0,"['X', 'X', 'X', 'O', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,60,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,60,O,8,"[' ', ' ', ' ', ' ', 'X', ' ', 'O', ' ', 'O']",0.0,0.0
1,60,O,2,"[' ', ' ', 'O', ' ', 'X', ' ', 'O', 'X', 'O']",0.0,0.0
1,61,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",0.0,0.0
1,61,X,0,"['X', ' ', ' ', ' ', 'X', ' ', ' ', ' ', 'O']",0.0,0.0
1,61,X,2,"['X', ' ', 'X', ' ', 'X', 'O', ' ', ' ', 'O']",0.0,0.0
1,61,X,3,"['X', 'O', 'X', 'X', 'X', 'O', ' ', ' ', 'O']",0.0,0.0
1,61,X,7,"['X', 'O', 'X', 'X', 'X', 'O', 'O', 'X', 'O']",0.0,0.0
